Fertilizer,temp,N,P,K,yeild
80.0,28,80.0,24.0,20.0,12.0
77.0,27,78.0,23.0,20.0,12.0
80.0,26,80.0,24.0,20.0,12.0
80.0,28,80.0,24.0,20.0,12.0
78.0,27,78.0,23.0,19.0,12.0
80.0,28,80.0,24.0,20.0,12.0
75.0,26,75.0,22.0,19.0,12.0
80.00883794473356,27.922954032753086,79.82364761858835,23.9878499578473,19.998700640230712,11.889967734468776
79.9692234428006,28.06918080363221,79.97562647152222,24.015875822404887,20.037751655640903,11.910046246547845
78.10173940093789,26.933389595639156,77.90588947092608,22.91823343174151,19.248724105249256,12.222131710256553
77.02716937507523,26.91632952224534,77.82524735880052,22.91711686614269,20.017362641777908,12.203430985862074
79.9717236715814,28.15917810993781,80.1696830265527,24.11034127151678,20.06072343632725,12.18140887736545
77.88058524674771,26.88856690099702,77.88898295350498,23.14716802891009,19.050869386995974,12.106527393072906
80.12095989396411,25.909155878221927,79.9785613921696,24.06274554924038,20.041296586866935,11.990487369308875
80.1697411369782,28.078786736619847,80.07822936352784,24.02495582100312,20.065584213677326,11.94355723955301
77.09211193777195,27.220976920622956,77.99951035887916,22.99807353747811,19.949199239335186,11.966857279501758
80.00194037750225,28.120823573792308,79.95279390203343,24.080488118341318,20.075733171039325,12.029639994120059
79.9836564651905,28.191438563592538,79.92297394649056,24.049463738440995,20.057151233864836,11.855391684273963
79.98393759217656,28.049561339563834,80.17792529820404,23.972968398471487,19.97026992610728,12.028406739516697
79.9549273146619,27.935445264154268,80.12758797442434,23.791896778045267,20.14538868505696,12.111999059098896
80.0349616399594,27.88519837140194,80.0216008798656,23.984455889822534,20.01596419001636,12.064062845556501
80.02086357823528,27.860857841639184,79.93845579973897,23.986586304996923,19.919196456077813,12.01984490707565
79.94621099892106,28.14878451841642,80.0361205337653,24.07535434767075,20.10009667626573,12.0608676528414
77.19670531208688,27.12946513817399,77.97922430139865,22.82830744080403,19.98407963289835,11.93587420682858
76.93860724717608,26.77548376279516,77.82055950885542,23.07715028871899,20.05456444599804,12.062469878079124
77.91759902329851,27.18479335544989,78.05981491149441,23.006123242689547,18.99632127644905,11.909595075220693
79.97481836053826,26.042943001302582,79.99172565700668,24.02828908795453,19.879493262392746,12.101224207295198
79.83092140837854,27.964995451688605,80.03711340797351,23.893424233261673,20.13006025081497,12.014364317244807
77.87287177900643,26.943850790281846,78.20337524480837,23.035350442372806,19.090752885708127,11.918391044768333
79.90194519963049,26.057782493072974,80.01226091021793,24.048961984752573,20.191036741330475,11.994879908202845
79.95633797991185,28.17413983491653,80.0154460444802,24.028003662828176,20.009700177831753,11.907858309754566
80.08663322863335,27.9962506754605,80.08833907295754,23.963518720108546,19.897487528536384,12.04993334267621
75.04507925512735,25.881851609090116,75.1724865577113,21.824098828868856,18.90227039844426,12.10953387968294
80.04282587235302,27.989742404330315,79.79394694433998,23.89016055360057,20.13873895663929,11.946383704728873
77.95024663155931,27.022875474535557,77.99496809636138,23.030978281919193,18.83698579266698,11.88440639656932
80.08823916144006,28.00368470054312,80.1182413262016,24.11680254341148,20.093138988905356,12.07576675615647
80.0628576627812,28.18222291131894,79.99401123953021,24.1090331807224,19.977405627062332,11.872625827424969
79.9597158953367,25.94342970237449,79.93784544028793,23.987103248047035,19.916378264832616,11.93139078974163
79.99909165208244,27.881408368098285,79.98391669871374,23.90981181613797,20.029711370316658,12.101139661029327
78.03146613809494,27.01498958837982,77.96181936933719,22.964850041304473,18.916859156890652,11.999796833320021
79.94752079984552,27.955248013233778,80.13285905655877,24.02539170663251,20.248366767451945,11.999564327725082
80.13613600339718,28.068280351778935,79.96273240976852,24.165282300629432,20.155082804844486,12.060750465609294
77.96526344020921,26.99310147989014,77.97377053242768,23.03648972125171,19.00302803949817,11.98107258451872
77.86353831263145,27.118360935071102,77.97730881961498,23.180734446865902,19.078734651923277,12.060606178074487
79.93624410371986,27.830073663112007,79.93477276762758,24.108485197364644,20.01075314837758,12.022494900055163
80.01215415727583,28.153619850962798,80.16938015948558,24.02838290504114,19.92738046444832,11.972944414894677
80.16741620172797,28.210947768558842,79.80942025593747,24.01059120941561,19.97703877664119,11.881186856571802
77.97565186977344,27.049539449646687,77.91230174379163,22.97949185299319,18.94701090788562,12.156148014109524
80.1636098442908,25.973760633809036,80.15246693204507,24.051010503993236,19.954983990134682,12.042000011857667
80.22389341335685,27.955071293207673,79.91571477956897,23.963952374314413,20.124203382370112,11.954023147014755
80.04451993265398,28.032548693802564,79.88375954472822,24.045218360224258,19.94151249841805,11.978706119746263
77.08361868869402,27.06509146208579,77.99692379639247,22.889241246624167,20.106336384828726,12.072268418749381
80.02238679810137,27.958615600973264,79.92240520877702,23.976865562336545,20.003528487011764,11.893622734310537
77.91253101685919,26.925510750568566,77.91378199639723,23.140234418307248,19.100333642063223,12.005230480489784
80.07983565297539,28.022634388452836,79.99467670831322,23.856289535729932,20.054039217926604,11.962118621477478
79.84327190956874,27.993549164371053,80.10083942730454,24.036531041501323,20.031226738496958,12.001138475355509
80.07473738265452,25.87124015053433,80.00572872491892,23.9959596737022,19.940286009479404,12.08209315225853
78.15738733546793,26.885631380528835,78.06364707950334,23.022102885290334,19.10097820807056,11.933360596433523
79.89280957040692,27.886736580335718,79.96676744264819,24.080619434905863,19.944974085661165,11.938060836454842
80.07347245051115,28.017680089467266,79.97352416583912,24.205070747677485,20.037479828798542,11.969220617322263
77.23575399667926,27.07643472849023,78.02516253509957,22.942712708347678,20.077656148918916,12.083636358311983
79.86595794380759,28.044801760719874,80.14019810679427,23.74143496026416,20.005746415878857,11.914163901670893
76.8407554765554,26.912323475757244,77.92937736828571,23.02686620248578,19.879749975373187,11.832066672457092
74.99658771996447,26.019324946157248,74.95682754214073,21.94704139165746,19.044763244311703,11.972657603941126
79.89342989251712,28.166756601556507,79.94140745794952,24.0755414292337,19.87207296764629,12.010751787350413
76.88665632759867,26.84061042259096,78.0922738816999,22.823388942408155,20.026483407135043,12.039752454206992
80.08538239408561,26.13459054669787,79.94264480853009,23.92675151415386,20.106703162233295,11.866503573167902
79.8389336416642,26.051903213187874,80.10643992041109,24.006004350399348,20.102300271258365,12.083191869804748
79.99630822797296,27.907142689217213,79.96766234629725,24.119625854112332,20.138559041523806,12.086127924815887
79.96619183219661,27.964039895872784,80.02952487480536,24.02050961433518,20.179539769709493,12.094539637752934
76.96237920296723,26.934288905438883,78.04795223872922,23.045621005781562,19.883703134423374,12.002969930387186
77.96464097125725,26.87647454324829,77.99108992476513,23.020892795795223,18.960252085929213,12.01041395622997
80.06962285830566,27.937352054123643,79.93531008612287,23.847051053867332,19.952887937570598,12.098089732939222
77.00341430455428,26.993832127943534,78.04593339545833,23.064840913896354,19.87593177761545,11.941026826529423
77.97626259939875,26.798853325657387,78.04747242695974,22.9774423770868,19.00836685545005,12.215449526167413
79.82850065740932,28.144586391978233,79.96461220675481,23.978778511580412,20.08131525512072,11.932183459967192
76.98625686029763,27.001427717556247,78.08560339915735,22.995896588801262,20.14554269633369,11.841314082295359
77.86418922885647,26.988093815773084,78.00995128181374,23.0903095453472,18.88805535451338,12.047022794119334
77.17837194396238,27.231381405018812,77.94766454287188,23.126728441461903,19.96228053776727,11.925670689730921
80.07672982988707,28.036772449580322,79.84518762876614,23.980014979343533,19.95522399340376,12.042505988411605
79.93668891449134,28.10871699800603,79.8844741610598,24.043497724562595,20.094816173131495,12.056965966638359
80.02707981430996,27.842499234820863,79.89882235170414,24.00584575671448,19.9752138403347,12.038186154368084
80.0809925808396,27.990785771465426,79.99555844692554,24.05500181872593,20.290505049108226,11.881104865443453
76.99429996567369,27.155606332387276,77.98464232390545,23.123234631358272,19.97617996395509,12.082413689536926
80.10347962028958,28.055010077720343,79.98053158589748,23.96463744173466,20.051302352665097,11.939765855540257
80.11138321051924,28.0431163100677,79.94587714344641,23.77655219274502,19.944213058874514,12.024797847304969
80.15817146577048,27.867843930338662,79.8315433358888,23.966299138684946,19.85877331075519,11.912871723467005
79.83081035370051,28.158536595254493,80.04101192259809,23.966821370644915,20.046377068134277,11.956151516104267
77.89823980900678,27.09899432823362,77.91701715732918,23.0370993799053,18.985229791866235,11.74495496420936
80.12077878078088,28.1472555319217,79.93729626017358,23.906355907760414,19.982436548464385,12.114608696443184
79.93506759983522,28.22338459195853,79.97583416319851,24.048379546930775,20.15523688584649,12.10139284734977
79.94772915170125,27.860582418843155,79.7854273842966,24.05667820802045,19.909546908229693,11.863981622188906
80.09851301068143,27.973795032007565,79.99064286442584,24.03793233988642,19.85563020231986,11.988376754330725
76.87948588532028,27.01063758526951,78.15656080073806,22.832318012551205,20.01826058372938,11.787474465960845
75.07412063194293,26.061030698279644,75.14803956249914,21.87739699860573,18.998637353478262,11.971103365379703
79.88858562433542,28.06325062358648,80.02735083973714,24.07961432632536,19.85554990761034,11.929725422971055
79.93310882659499,27.954068366859424,79.94762268224522,24.00635661801558,19.97875927520931,12.158038170641262
74.9915352172489,25.983004885567812,75.03374663918657,22.050891765226922,18.833063958091447,12.17838896712266
80.02525152179409,27.989003710624928,79.83958255406453,23.960041142632484,19.905815039507925,12.117157510871575
79.92080928226412,27.950872455177766,80.0313976586031,23.98347047735334,20.128458962506432,12.183705420811316
80.04972098851212,28.007497035053394,80.03024115886483,24.020110219479573,19.89142413588727,11.99915993727263
80.09794172344449,27.9997828179342,79.93311462928675,23.94404421111625,20.02674933440363,12.159804886007871
79.98654811641504,27.96933249991735,80.0911200752795,24.081056624246763,20.025125948132786,12.09113989035689
79.99520323335149,28.077782770179017,80.0169758436009,24.006244752477063,19.948136164288705,12.070509570535478
78.1579433978361,26.89381906483619,78.03809641040891,23.26313871357837,19.160481801573816,12.107693295374064
80.03118492211745,26.20330349553901,80.01909948442601,23.942956084944825,20.15240097978331,11.92366601255252
75.10615157180476,26.013380338767867,75.00826368733053,21.974450310870694,19.062961385370027,11.828146531062561
77.04771329229592,27.20087369964249,77.92949736523391,22.88324528731,19.81119207956371,12.128090871276752
79.92283308637202,25.86564510755356,79.92890471068826,24.153298101223015,20.006789293103537,11.880912889313585
79.84145284798929,28.07418246965172,80.06923825795056,23.97670893426889,19.99032415043307,11.800579750265815
76.99537937113577,26.954148026098473,78.12751149883971,23.023738626728655,20.050331185240665,11.995971168630156
79.96066474517917,25.97878246921244,80.13714631092546,23.955505092982072,20.023568705085474,12.07744921283509
79.86346212026031,27.955626209326454,80.01642457981583,24.080582689465434,19.89237349596171,12.032986382562706
80.0554376176429,26.01936450632556,80.08791708428713,23.851362295329206,19.79403977575103,11.837747699741644
79.88805016135736,27.911134929972206,80.03709618832224,24.00786442799102,20.187499102046406,12.123210372221731
79.90315907070728,28.005964900715284,80.21870450177731,24.205451861481407,19.927257192831853,11.977185169795538
80.18969068190283,27.906127072203077,79.93976213976553,23.96530689652336,20.043347107081328,12.11061689225524
79.97706013140115,27.93699178462918,80.05232289183864,24.157081344172774,20.067521706409373,12.098149693809011
79.81283791879302,27.895781229126637,79.91683026364987,24.057352045141926,20.021199050386457,12.009217427213898
80.11155558278114,28.238792982819774,79.97198801887637,24.10602859576045,20.065266908499215,12.264358426250926
77.99925889406678,27.028387574466,77.86900118601437,23.011277931297244,19.00475817361382,12.114122627781015
80.15022368603161,28.08062264479724,80.01747782985703,23.906553424912264,20.149861291204775,12.055172722171397
75.02287224532847,26.11338240345254,75.02980012674288,22.00482224306059,19.069743407381985,11.886457030660782
77.99231927200184,26.83597725195576,77.82320336884695,22.908013312366258,18.98791011035645,12.045624928881397
78.01980445632461,26.937325908837725,78.02345992979558,22.853449678777686,18.942417942658302,11.88873888666178
78.04663406321532,27.130861086496143,77.87814186503283,23.19534843353752,18.973670787706098,11.92936600795513
80.02630482688775,27.872230491751605,80.12165636258615,24.053841417273517,19.84065406305064,11.991849386728942
79.84096674731605,28.12828075592826,79.94101169555736,23.991623102033255,19.94844815041387,11.92937575010727
79.95180532458768,27.901585898531263,80.115649838952,24.128320079836158,19.821420534075738,11.943433542736207
74.99273586996112,25.944747773445656,75.01715905265844,21.958946250544304,19.02491069167774,11.776505069277038
80.15427658447624,27.954048563783747,79.96459885146554,23.911847046555813,19.97344971319787,12.04550326773983
80.16070327545269,28.117229742727048,79.9423359147884,24.072319992956864,19.944926250788413,11.945918335038424
76.91651125964042,27.23981288319237,78.07355069916903,22.941648689364357,19.846464341755105,12.141137137608414
76.83524933101661,26.88384334935728,77.96836345837784,23.097518580582978,20.220692565255057,12.108291239341025
74.85689619400662,26.052357060436844,75.01202430100008,21.874334602504536,18.98229629220225,12.054940161102879
79.9063903511777,28.066709001251777,80.09552015952119,24.15675713652945,19.865324868346374,11.988937937709332
80.15789239902787,27.99159898363939,80.13736522459884,24.00945812482564,20.122301864367138,12.337651203855433
76.98723976181232,27.106761423481302,78.00202497829629,23.17064982137451,20.061424606189057,12.085369129438808
79.99333622492912,27.989800327722943,80.05054065857395,24.074408954427312,19.985017388516933,11.920942940469175
80.0525027500904,27.83750846589067,79.80271106768855,24.26074993185349,19.974930254180425,11.987911215795263
75.0181245361045,26.043756188239442,75.03134330046811,22.02684621649509,18.935820126327414,12.01066522701965
