Location,Crop,Soil_Type,pH,Nitrogen,Phosphorus,Potassium,Rainfall_mm,Temperature_C,Expected_Yield_ton_per_hectare
Ranchi,Rice,Clay Loam,6.54,Low,Medium,Medium,1363,25,3.06
Ranchi,Maize,Sandy Loam,6.57,Low,Medium,High,1089,22,3.23
Ranchi,Rice,Loamy,6.64,Medium,Low,Low,1454,30,3.08
Ranchi,Rice,Clay Loam,6.23,Low,High,High,1498,32,2.62
Ranchi,Maize,Sandy Loam,5.89,Low,Medium,High,1137,19,2.89
Ranchi,Wheat,Loamy,6.47,Medium,High,Low,1324,19,1.91
Ranchi,Wheat,Clay Loam,6.34,Low,Low,High,1330,25,3.15
Ranchi,Pulses,Loamy,7.15,Medium,Low,Low,1013,24,1.29
Ranchi,Pulses,Loamy,6.47,High,High,Medium,848,22,1.75   
Ranchi,Pulses,Sandy Loam,7.45,High,Low,Low,1042,21,1.05
Ranchi,Maize,Loamy,6.02,Medium,Medium,High,1120,24,3.52
Ranchi,Wheat,Clay Loam,6.15,Low,High,High,1119,25,3.2
Ranchi,Pulses,Sandy Loam,7.24,High,Low,Medium,981,21,1.33
Ranchi,Wheat,Clay Loam,6.4,High,High,High,1315,23,2.1
Ranchi,Wheat,Clay Loam,6.73,High,Medium,Low,1344,20,2.07
Ranchi,Wheat,Clay Loam,7.16,High,Medium,Low,1252,24,3.39
Ranchi,Pulses,Loamy,6.96,High,High,Medium,876,19,1.87
Ranchi,Rice,Clayey,6.97,Low,High,High,1505,31,4.05
Ranchi,Wheat,Loamy,7.28,Low,Medium,High,1334,23,2.98
Ranchi,Rice,Clayey,5.57,Medium,Medium,High,1534,25,2.67
Ranchi,Rice,Clay Loam,5.5,Low,Medium,Low,1463,26,2.57
Ranchi,Pulses,Sandy Loam,7.37,High,Medium,Medium,1069,18,1.77
Ranchi,Pulses,Sandy Loam,6.84,High,Medium,Medium,1016,20,1.86
Ranchi,Pulses,Loamy,7.41,Low,Medium,Low,887,27,1.7
Ranchi,Rice,Clay Loam,6.67,High,Low,High,1206,29,3.03
Ranchi,Rice,Clay Loam,5.74,High,Medium,Medium,1449,23,4.06
Ranchi,Maize,Sandy Loam,7.47,High,Medium,High,1189,23,3.57
Ranchi,Rice,Clayey,6.21,Medium,Medium,Low,1522,22,3.1
Ranchi,Rice,Clay Loam,5.75,Medium,High,High,1348,29,4.26
Ranchi,Pulses,Sandy Loam,7.35,High,Low,High,897,27,1.29
Ranchi,Maize,Loamy,6.96,Low,Medium,High,1121,20,3.62
Ranchi,Wheat,Loamy,7.33,High,High,High,1134,24,2.29
Ranchi,Wheat,Loamy,6.23,High,Medium,High,1295,24,2.9
Ranchi,Wheat,Clay Loam,6.44,Medium,Low,High,1251,20,2.59
Ranchi,Maize,Sandy Loam,6.09,Low,High,Medium,917,20,2.66
Ranchi,Rice,Loamy,6.09,Medium,Medium,Low,1294,23,3.29
Ranchi,Rice,Clayey,6.39,Medium,High,Medium,1588,27,4.14
Ranchi,Maize,Sandy Loam,5.94,Low,High,Medium,1078,20,3.43
Ranchi,Rice,Clayey,5.68,Medium,Low,Low,1381,29,4.33
Ranchi,Pulses,Sandy Loam,6.88,Medium,Medium,High,966,21,1.22
Ranchi,Rice,Loamy,5.92,Medium,High,Low,1334,29,4.41
Ranchi,Wheat,Loamy,7.4,Medium,High,Medium,1242,24,2.66
Ranchi,Pulses,Sandy Loam,6.12,Low,High,High,972,25,1.79
Ranchi,Pulses,Loamy,7.11,Medium,High,Low,977,28,1.66
Ranchi,Pulses,Sandy Loam,6.73,Medium,Medium,Low,1004,25,1.28
Ranchi,Maize,Loamy,6.1,Medium,Low,High,977,22,3.47
Ranchi,Pulses,Sandy Loam,7.46,Medium,Low,Medium,803,23,1.88
Ranchi,Maize,Loamy,6.71,High,High,High,1120,26,2.52
Ranchi,Maize,Sandy Loam,7.12,High,High,High,1003,20,3.72
Ranchi,Maize,Loamy,7.11,High,High,High,936,28,2.77
Ranchi,Maize,Loamy,6.73,Low,High,Low,1121,30,3.25
Ranchi,Rice,Loamy,6.17,Low,Medium,High,1495,29,4.23
Ranchi,Maize,Sandy Loam,7.48,High,Low,High,940,19,3.58
Ranchi,Rice,Clayey,6.94,Medium,High,Medium,1240,23,3.56
Ranchi,Pulses,Loamy,7.22,High,Low,Medium,925,26,1.86
Ranchi,Maize,Loamy,7.42,High,Low,Medium,1143,18,2.06
Ranchi,Rice,Clay Loam,6.23,High,Low,Medium,1429,28,3.33
Ranchi,Rice,Clayey,6.93,Low,Medium,Low,1557,28,3.74
Ranchi,Pulses,Sandy Loam,7.33,Medium,High,Medium,870,26,1.33
Ranchi,Rice,Clayey,6.57,High,Medium,Low,1272,29,4.01
Ranchi,Maize,Loamy,7.09,High,High,High,934,28,3.4
Ranchi,Maize,Sandy Loam,5.95,High,High,Low,931,26,3.4
Ranchi,Maize,Loamy,6.8,Low,Medium,Medium,1105,25,2.6
Ranchi,Wheat,Clay Loam,6.89,Medium,Low,Low,1144,18,3.14
Ranchi,Wheat,Loamy,6.29,High,Low,Medium,1173,25,2.57
Ranchi,Pulses,Loamy,7.44,High,High,High,840,26,1.59
Ranchi,Pulses,Sandy Loam,6.07,Low,Low,Low,802,25,1.06
Ranchi,Wheat,Loamy,6.38,Medium,High,Medium,1323,23,2.44
Ranchi,Wheat,Loamy,7.01,High,Low,Low,1304,19,2.18
Ranchi,Pulses,Loamy,7.46,Low,Low,Medium,885,20,1.51
Ranchi,Maize,Loamy,6.65,Low,Low,Medium,1159,30,2.07
Ranchi,Wheat,Loamy,6.76,Medium,Medium,High,1160,21,2.65
Ranchi,Wheat,Loamy,6.04,Medium,High,Low,908,20,1.95
Ranchi,Pulses,Sandy Loam,6.44,Medium,Low,High,845,18,1.65
Ranchi,Wheat,Clay Loam,6.88,Medium,High,Medium,1023,24,2.26
Ranchi,Pulses,Sandy Loam,6.06,High,Medium,Medium,885,27,1.74
Ranchi,Pulses,Sandy Loam,6.51,Medium,Low,Medium,957,19,1.7
Ranchi,Maize,Loamy,7.29,High,Medium,Low,963,30,2.97
