Location,Crop,Soil_Type,pH,Nitrogen,Phosphorus,Potassium,Rainfall_mm,Temperature_C,Expected_Yield_ton_per_hectare
Ranchi,Wheat,Loamy,6.54,Low,High,Medium,1169,19,2.99
Ranchi,Maize,Loamy,6.21,Low,Medium,Medium,1187,24,3.72
Ranchi,Pulses,Loamy,6.65,Medium,Low,Low,1082,27,1.52
Ranchi,Maize,Sandy Loam,6.32,Low,Low,Low,1165,19,3.24
Ranchi,Rice,Clayey,6.54,Medium,Low,High,1464,31,4.2
Ranchi,Rice,Loamy,5.77,Low,High,Low,1287,32,2.88
Ranchi,Pulses,Loamy,6.97,High,Medium,Medium,816,20,1.21
Ranchi,Rice,Clay Loam,6.88,Low,High,Medium,1376,29,4.13
Ranchi,Maize,Sandy Loam,7.22,High,High,Medium,1033,25,3.05
Ranchi,Rice,Clayey,5.91,Low,Low,Medium,1201,26,3.28
Ranchi,Maize,Loamy,6.91,Medium,Low,High,921,27,2.01
Ranchi,Pulses,Sandy Loam,7.09,Medium,Medium,Medium,1054,20,1.84
Ranchi,Pulses,Loamy,6.89,Medium,Medium,Medium,935,24,1.76
Ranchi,Maize,Sandy Loam,6.01,Medium,High,Low,1176,23,2.99
Ranchi,Rice,Clayey,6.88,Low,High,Low,1369,30,4.39
Ranchi,Wheat,Clay Loam,6.25,Low,Low,Medium,1344,25,3.3
Ranchi,Maize,Sandy Loam,6.97,Low,High,Medium,1185,26,3.25
Ranchi,Rice,Clayey,6.03,Low,Medium,Low,1387,22,4.24
Ranchi,Maize,Sandy Loam,7.1,Low,Low,High,924,29,3.8
Ranchi,Pulses,Loamy,7.03,Medium,High,High,959,26,1.75
Ranchi,Maize,Loamy,6.7,Medium,Low,Low,923,24,3.5
Ranchi,Maize,Loamy,6.41,High,High,Medium,921,25,3.16
Ranchi,Maize,Loamy,6.64,Medium,Low,Medium,1140,29,3.24
Ranchi,Wheat,Clay Loam,7.38,Medium,Low,Low,902,24,1.75
Ranchi,Wheat,Clay Loam,6.5,Medium,High,High,961,24,1.78
Ranchi,Wheat,Clay Loam,7.13,Medium,Medium,High,1201,21,2.64
Ranchi,Pulses,Sandy Loam,6.81,High,Medium,High,1002,25,1.45
Ranchi,Pulses,Sandy Loam,6.42,High,Low,Low,999,22,1.4
Ranchi,Pulses,Loamy,6.73,High,Low,Low,924,27,1.69
Ranchi,Maize,Sandy Loam,5.85,Low,Low,Low,1151,24,3.14
Ranchi,Wheat,Clay Loam,6.18,Low,Low,Medium,943,20,2.42
Ranchi,Rice,Clayey,5.94,High,High,Medium,1483,26,3.07
Ranchi,Maize,Sandy Loam,5.97,Low,Medium,Low,1097,27,2.97
Ranchi,Pulses,Loamy,6.68,Medium,Medium,Medium,1065,27,1.42
Ranchi,Wheat,Clay Loam,6.22,High,High,High,949,24,1.73
Ranchi,Maize,Sandy Loam,5.84,Low,Low,Medium,993,29,3.58
Ranchi,Maize,Loamy,7.12,Low,Low,Medium,1089,20,2.14
Ranchi,Wheat,Loamy,6.01,High,Medium,High,1206,23,2.77
Ranchi,Wheat,Clay Loam,6.04,Low,High,High,1015,23,2.98
Ranchi,Rice,Clayey,6.0,Medium,Low,Medium,1430,32,3.31
Ranchi,Rice,Clayey,5.76,Medium,Low,Medium,1380,24,3.96
Ranchi,Rice,Clayey,5.93,Medium,Medium,High,1340,28,2.95
Ranchi,Wheat,Loamy,6.92,High,Medium,High,1309,24,3.37
Ranchi,Pulses,Loamy,6.27,Medium,Medium,High,1054,19,1.57
Ranchi,Maize,Sandy Loam,6.55,High,Medium,High,937,25,2.56
Ranchi,Maize,Sandy Loam,6.1,Low,High,Low,961,19,2.56
Ranchi,Rice,Clayey,6.06,Low,Medium,Medium,1522,32,3.79
Ranchi,Wheat,Clay Loam,7.0,High,High,Low,1055,25,1.79
Ranchi,Pulses,Sandy Loam,7.35,High,Medium,High,879,23,1.77
Ranchi,Wheat,Loamy,7.11,Low,High,High,1240,25,2.95
Ranchi,Pulses,Loamy,6.34,High,High,High,820,19,1.97
Ranchi,Pulses,Loamy,6.89,Medium,Low,Low,853,19,1.27
Ranchi,Rice,Clay Loam,6.98,Medium,Low,Low,1242,30,3.87
Ranchi,Rice,Loamy,6.43,High,Low,Medium,1416,25,4.29
Ranchi,Maize,Sandy Loam,6.65,High,Low,Low,1006,23,3.06
Ranchi,Wheat,Clay Loam,6.27,Low,Low,Low,985,23,2.21
Ranchi,Wheat,Loamy,7.34,Medium,Medium,Medium,934,18,3.12
Ranchi,Wheat,Loamy,7.17,Low,High,High,1308,21,2.38
Ranchi,Rice,Loamy,6.31,Medium,Low,Low,1293,29,4.23
Ranchi,Wheat,Loamy,6.42,Medium,High,Low,908,25,3.33
Ranchi,Maize,Loamy,6.11,High,High,Low,961,27,3.41
Ranchi,Pulses,Sandy Loam,7.03,Medium,Low,Low,818,26,1.57
Ranchi,Maize,Loamy,6.65,High,Low,Medium,919,19,3.15
Ranchi,Rice,Clayey,6.15,Low,High,Medium,1546,27,3.53
Ranchi,Maize,Sandy Loam,5.98,Low,Medium,Medium,1099,25,3.06
Ranchi,Maize,Sandy Loam,6.69,Medium,Medium,Medium,994,27,2.64
Ranchi,Maize,Loamy,6.44,High,Medium,Medium,1029,29,2.62
Ranchi,Maize,Loamy,7.07,Low,Medium,Low,1076,20,3.34
Ranchi,Maize,Sandy Loam,7.11,Low,High,Low,909,27,2.78
Ranchi,Pulses,Sandy Loam,6.68,Low,Medium,Low,1081,18,1.22
Ranchi,Wheat,Clay Loam,7.5,High,Low,Medium,1126,22,2.38
Ranchi,Wheat,Loamy,6.49,High,Medium,High,1360,23,3.32
