Location,Crop,Soil_Type,pH,Nitrogen,Phosphorus,Potassium,Rainfall_mm,Temperature_C,Expected_Yield_ton_per_hectare
Ranchi,Pulses,Sandy Loam,6.98,Medium,Medium,High,849,24,1.11
Ranchi,Pulses,Sandy Loam,6.74,Medium,Medium,Medium,967,23,1.44
Ranchi,Pulses,Sandy Loam,6.44,High,High,High,877,24,1.49
Ranchi,Maize,Loamy,7.23,Medium,Medium,Low,918,19,2.97
Ranchi,Maize,Loamy,7.05,Low,High,Low,923,21,3.15
Ranchi,Pulses,Sandy Loam,6.4,High,Medium,Low,923,27,1.17
Ranchi,Maize,Loamy,6.73,Low,High,High,1062,26,2.25
Ranchi,Pulses,Loamy,7.15,High,Medium,Low,1035,27,1.61
Ranchi,Rice,Loamy,5.98,High,Low,High,1273,27,3.04
Ranchi,Rice,Loamy,6.3,High,Low,Medium,1557,31,2.79
Ranchi,Maize,Loamy,6.77,Low,High,Low,1066,18,3.61
Ranchi,Wheat,Loamy,7.28,Medium,Medium,Medium,1147,22,3.33
Ranchi,Maize,Loamy,7.49,Medium,High,High,1038,30,3.66
Ranchi,Maize,Sandy Loam,7.33,Medium,Low,Low,934,26,3.94
Ranchi,Rice,Loamy,6.69,Low,High,Low,1286,32,4.17
Ranchi,Maize,Loamy,6.28,Low,Low,Medium,1098,24,2.05
Ranchi,Pulses,Sandy Loam,6.2,Low,High,Low,931,24,1.91
Ranchi,Wheat,Loamy,6.32,High,Medium,Low,1080,23,1.94
Ranchi,Maize,Sandy Loam,7.18,Low,Low,Medium,1079,19,3.14
Ranchi,Pulses,Loamy,6.95,Low,Low,High,959,25,1.19
Ranchi,Rice,Loamy,5.81,Low,High,High,1517,32,3.29
Ranchi,Wheat,Clay Loam,6.25,Low,Low,High,1300,25,2.71
Ranchi,Pulses,Loamy,6.07,High,High,Low,1059,18,1.8
Ranchi,Rice,Clay Loam,6.66,Low,Medium,High,1201,24,4.47
Ranchi,Maize,Sandy Loam,7.23,Low,Low,Medium,1198,27,3.16
Ranchi,Wheat,Clay Loam,6.72,Low,High,High,1161,19,2.69
Ranchi,Rice,Loamy,5.98,High,High,High,1589,26,4.4
Ranchi,Rice,Loamy,5.61,Medium,Low,High,1426,25,3.81
Ranchi,Wheat,Clay Loam,7.3,Medium,Low,High,1210,25,1.93
Ranchi,Wheat,Clay Loam,7.24,High,High,Medium,1389,19,3.19
Ranchi,Rice,Loamy,5.53,Medium,Medium,Low,1450,31,3.97
Ranchi,Pulses,Sandy Loam,6.91,Low,High,Medium,1089,27,1.96
Ranchi,Pulses,Sandy Loam,6.22,Low,Medium,Low,931,21,1.85
Ranchi,Pulses,Loamy,7.21,Medium,Low,Medium,1059,22,1.99
Ranchi,Pulses,Sandy Loam,6.31,Medium,High,Low,880,18,1.48
Ranchi,Pulses,Sandy Loam,7.4,Low,Medium,Medium,1013,22,1.77
Ranchi,Pulses,Loamy,7.17,Medium,Low,Low,1027,27,1.37
Ranchi,Rice,Clay Loam,6.4,Medium,Medium,Medium,1600,31,3.59
Ranchi,Wheat,Clay Loam,6.09,Medium,Medium,Low,1228,22,2.49
Ranchi,Maize,Loamy,7.18,Medium,Low,Low,970,23,3.76
Ranchi,Rice,Loamy,6.01,Medium,High,High,1221,31,4.01
Ranchi,Pulses,Sandy Loam,7.2,Medium,Low,Medium,963,19,1.01
Ranchi,Pulses,Sandy Loam,6.28,Medium,High,Medium,1057,23,1.71
Ranchi,Rice,Clayey,6.82,Low,Low,Medium,1435,28,3.67
Ranchi,Maize,Loamy,6.97,Low,Low,Low,1077,30,3.88
Ranchi,Rice,Clayey,5.73,Medium,Low,Low,1535,28,2.76
Ranchi,Maize,Loamy,6.96,Medium,High,Low,1042,24,2.92
Ranchi,Maize,Loamy,7.11,Low,Low,High,1164,22,3.76
Ranchi,Wheat,Clay Loam,6.64,Low,Low,Low,1383,24,2.82
Ranchi,Rice,Clay Loam,5.74,Medium,Low,Medium,1279,27,4.47
Ranchi,Pulses,Sandy Loam,6.54,Low,High,Medium,928,27,1.72
Ranchi,Pulses,Sandy Loam,6.28,Low,Low,Low,1022,22,1.94
Ranchi,Wheat,Clay Loam,6.85,Low,High,Low,1388,22,2.81
Ranchi,Wheat,Clay Loam,6.35,High,Medium,Medium,995,20,3.34
Ranchi,Rice,Clay Loam,6.35,Medium,Medium,Low,1221,28,3.99
Ranchi,Wheat,Clay Loam,7.09,High,Medium,High,1027,20,2.02
Ranchi,Pulses,Loamy,6.47,Medium,Low,High,1082,23,1.17
Ranchi,Rice,Clayey,6.89,Medium,High,Medium,1401,32,2.88
Ranchi,Wheat,Loamy,7.49,Low,Medium,Medium,1301,19,2.65
Ranchi,Pulses,Loamy,7.19,Low,High,Low,824,28,1.09
Ranchi,Wheat,Loamy,6.01,Medium,Low,High,972,25,3.08
Ranchi,Maize,Loamy,6.81,High,Medium,High,1046,25,3.15
